ticker,name,avg_price,current_price,position_weight,holding_type
000660,SK하이닉스,"2,747,212","2,764,000",2.5418,trade
005930,삼성전자,"307,794","354,000",9.9673,trade
009540,HD한국조선해양,"474,103","419,000",4.3866,trade
063080,컴투스홀딩스,"34,249","13,600",22.1816,trade
067000,조이시티,"8,625","1,119",0.7980,trade
196170,알테오젠,"378,793","353,500",2.1028,trade
014280,금강공업,"5,850","4,190",0.2706,trade
267260,HD현대일렉트릭,"1,261,861","1,078,000",3.5025,trade
011790,SKC,"164,870","119,600",3.0509,trade
017670,SK텔레콤,"97,717","94,900",2.0794,trade
105560,KB금융,,"158,300",0.0000,trade
200710,에이디테크놀로지,"50,447","34,750",3.2672,trade
381180,TIGER 미국필라델피아반도체나스닥,"53,718","56,600",1.4910,trade
471760,TIGER AI반도체핵심공정,"19,360","19,335",0.8956,trade
480310,TIGER 글로벌온디바이스AI,,"25,735",0.0000,trade
428560,KODEX 미국ETF산업Top10 Indxx,"16,521","15,990",7.1841,trade
440910,WON 미국우주항공방산,"26,877","29,170",0.9947,trade
458760,TIGER 미국배당다우존스타겟커버드콜2호,"11,220","11,410",1.7648,trade
102780,KODEX 삼성그룹,"30,182","34,765",9.7738,trade
448330,KODEX 삼성전자채권혼합,"18,639","18,670",5.6911,trade
0148J0,TIGER 코리아휴머노이드로봇산업,"11,459","11,580",1.0603,trade
329750,TIGER 미국달러단기채권액티브,"13,902","14,335",2.3153,trade
447770,TIGER 테슬라채권혼합Fn,"14,817","14,550",1.3709,trade
0162Z0,RISE 삼성전자SK하이닉스채권혼합50,"14,016","15,880",9.8685,trade
0123G0,TIGER 미국AI전력SMR,"8,504","8,455",0.7868,trade
491010,TIGER 글로벌AI전력인프라액티브,"33,749","37,035",2.6541,trade
XPLA-KRW,XPLA (CONX),,10.17,0.0000,trade
